repo, precision
campus-navigator.git, 0.855
sights.git, 0.804
web-positiviser.git, 0.900
nc.js.git, 0.894
pylearning.git, 0.815
sixcfj.git, 0.863
cocos-engine-230.git, 0.934
django-polls.git, 0.890
speaker-recognition-project.git, 0.948
share.git, 0.967
ce5508-wally.git, 0.836
winck-django.git, 0.949
openglol.git, 0.924
