repo, precision
new-print-archive.git, 0.942
src_test.git, 1.000
myblog.git, 0.958
pslab-desktop.git, 0.929
esfera.git, 0.905
shakespurrean-twitter-bot.git, 0.957
nwa.git, 0.926
c-counter.git, 0.905
mica.git, 0.893
reg-test.git, 0.960
fantasticfour.git, 0.894
magrit.git, 0.969
micran.git, 0.947
naumachia-challenges.git, 0.958
phogo_v2.git, 0.956
cursos.git, 0.901
