repo, precision
riftsketchedit.git, 0.897
ox15.github.io.git, 0.769
fexmessenger.git, 0.966
cs-table.git, 0.869
2019-2-atom-frontend-n-tarasov.git, 0.952
kumo-discord-bot.git, 0.968
metrics-module.git, 0.949
niagara_falls_answers.git, 0.908
todo-web.git, 0.793
booking-server.git, 0.945
mindsprint.git, 0.742
whatsfordinner3.git, 0.953
scrapbook_frontend.git, 0.664
otus_web.git, 0.930
matt-peet-illustration.git, 0.736
til.git, 0.937
buddy-app-be.git, 0.858
first-react-app.git, 0.952
akshay23sept.github.io.git, 0.889
deprecated_datacenter.git, 0.952
hr_application.git, 0.877
bewell-in-school.git, 0.904
demo-res.git, 0.878
slate.git, 0.870
yumi-s-house.git, 1.000
