repo, support, full_support
fexmessenger.git, 238958, 252820
booking-server.git, 23242, 40603
bewell-in-school.git, 5010, 10905
scrapbook_frontend.git, 2143, 17793
first-react-app.git, 153331, 167888
ox15.github.io.git, 8691, 12037
cs-table.git, 3006, 11249
matt-peet-illustration.git, 769, 4926
otus_web.git, 9837, 24532
til.git, 23570, 35403
mindsprint.git, 179, 4415
niagara_falls_answers.git, 4444, 10717
todo-web.git, 2607, 5584
slate.git, 41884, 56744
kumo-discord-bot.git, 18968, 26879
buddy-app-be.git, 4641, 7544
akshay23sept.github.io.git, 82776, 91780
demo-res.git, 30319, 44699
2019-2-atom-frontend-n-tarasov.git, 7079, 16500
metrics-module.git, 3933, 6702
riftsketchedit.git, 2802, 7888
whatsfordinner3.git, 5161, 9698
yumi-s-house.git, 1132, 4662
deprecated_datacenter.git, 306204, 393212
hr_application.git, 9987, 14740
