repo, labels
riftsketchedit.git, 7
ox15.github.io.git, 6
fexmessenger.git, 9
cs-table.git, 6
2019-2-atom-frontend-n-tarasov.git, 8
kumo-discord-bot.git, 8
metrics-module.git, 7
niagara_falls_answers.git, 8
todo-web.git, 7
booking-server.git, 8
mindsprint.git, 5
whatsfordinner3.git, 10
scrapbook_frontend.git, 15
otus_web.git, 12
matt-peet-illustration.git, 7
til.git, 11
buddy-app-be.git, 7
first-react-app.git, 10
akshay23sept.github.io.git, 11
deprecated_datacenter.git, 22
hr_application.git, 8
bewell-in-school.git, 8
demo-res.git, 12
slate.git, 12
yumi-s-house.git, 7
