repo, precision
meteor, 0.915
react, 0.964
express, 0.958
telescope, 0.826
carlo, 0.947
node, 0.963
redux, 0.925
react-native, 0.933
storybook, 0.957
create-react-app, 0.914
axios, 0.966
jquery, 0.969
core-js, 0.982
30-seconds-of-code, 0.973
atom, 0.960
freeCodeCamp, 0.929
reveal.js, 0.954
citgm, 0.917
webpack, 0.947
evergreen, 0.925
