repo, precision
hackathons.git, 0.961
sound_of_sundholm.git, 0.931
master_thesis.git, 0.890
climbingapp.git, 0.863
scianilab.git, 0.881
ccomp2.git, 0.782
spotify-playlist-import.git, 0.996
api-sieg-down-v2.git, 0.901
travelwebapp.git, 0.930
zerotools.git, 0.904
tiny-tools.git, 0.916
