repo, precision
reach--.git, 0.897
event-admin.git, 0.901
detect-avoid.git, 0.955
poseidon-system-integration.git, 0.965
travelroute.git, 0.950
sidoine.org.git, 0.951
experimental.git, 0.886
exp-res.git, 0.946
movies.git, 1.000
minecraft-server.git, 0.896
du.git, 0.892
instagram-helper.git, 1.000
wt-training-angular2.git, 0.858
roverserver.git, 0.942
python-js-dolly-cam-app.git, 0.828
tiny-tools.git, 0.916
zecwallet.git, 0.926
