repo, precision, recall, full_recall, f1, full_f1, ppcr, support, full_support, Rules Number, Average Rule Len
jmad.git, 0.942, 0.942, 0.879, 0.942, 0.909, 0.933, 1989, 2132, 8, 6.5
ic05.git, 0.960, 0.960, 0.892, 0.960, 0.925, 0.929, 29462, 31702, 52, 9.2
sigmapi-web.git, 0.955, 0.955, 0.844, 0.955, 0.896, 0.884, 20202, 22843, 34, 9.6
gists.git, 0.916, 0.916, 0.809, 0.916, 0.859, 0.883, 933, 1057, 28, 3.6
zeo.git, 0.949, 0.949, 0.894, 0.949, 0.921, 0.941, 121397, 128999, 91, 11.9
schoolwork.git, 0.973, 0.973, 0.852, 0.973, 0.908, 0.875, 29244, 33408, 45, 10.0
agendas.git, 0.912, 0.912, 0.821, 0.912, 0.864, 0.900, 18142, 20163, 28, 8.7
csci243.git, 1.000, 1.000, 0.241, 1.000, 0.389, 0.241, 68, 282, 1, 1.0
pillars.git, 0.938, 0.938, 0.664, 0.938, 0.777, 0.707, 536, 758, 1, 3.0
