repo, support, full_support
citgm.git, 24935, 29853
meteor.git, 533318, 664151
webpack.git, 634392, 688526
create-react-app.git, 15424, 20879
jquery.git, 170331, 190616
reveal.js.git, 51247, 60149
react.git, 586383, 647267
storybook.git, 97855, 115127
evergreen.git, 140268, 177587
telescope.git, 1329, 2098
redux.git, 20639, 31057
carlo.git, 14655, 21039
axios.git, 27907, 32022
node.git, 874890, 968570
react-native.git, 512289, 611603
