repo, support, full_support
zeo.git, 537523, 643604
ic05.git, 189361, 217360
schoolwork.git, 158404, 225709
jmad.git, 8451, 17172
gists.git, 4574, 6676
csci243.git, 66, 244
sigmapi-web.git, 159610, 197618
pillars.git, 1197, 3001
agendas.git, 116977, 135841
