repo, support, full_support
autoprefixer.git, 42353, 47083
codelab-friendlychat-web.git, 9600, 13565
react-contextmenu.git, 9050, 13253
formula.js.git, 93121, 96619
pipedream.git, 152079, 170097
backbone-forms.git, 131429, 156481
npm-check-updates.git, 20766, 30846
resumake.io.git, 24814, 35890
ar.js.git, 28897, 43653
structor.git, 88347, 113250
npm-shrinkwrap.git, 6274, 10140
flask-debugtoolbar.git, 34560, 43769
archer.git, 27756, 45378
web-vitals.git, 7068, 9139
adele.git, 581, 1720
microstates.git, 21221, 26679
bilibili-helper-o.git, 60786, 78384
angular-starter.git, 2108, 5212
formidable.git, 17895, 23376
karma-webpack.git, 847, 2208
