repo, support, full_support
mac-torrents.git, 524, 2017
tads.git, 1204, 3797
soundcloud-uploadr.git, 1890, 5118
oim-cms.git, 2320, 4711
c-counter.git, 572, 1451
native-app.git, 13666, 22673
hackoctoberfest.git, 24978, 28984
noticed.git, 40651, 51481
coding-challenge-solutions.git, 12967, 16471
avimehenwal.in.git, 36745, 48713
chatbots.git, 182, 783
