repo, precision
node-ar-drone.git, 0.947
localtunnel.git, 0.890
asar.git, 0.849
babel-plugin-root-import.git, 0.986
chakra-ui-vue.git, 0.968
makemeahanzi.git, 0.861
zeronet.git, 0.966
electron-with-server-example.git, 0.988
seen.git, 0.939
grunt-newer.git, 0.899
js-ipfs-http-client.git, 0.942
snowpack.git, 0.905
koa-graphql.git, 0.833
backbone.modelbinding.git, 0.978
maria.git, 0.947
coronavirus-tracker-cli.git, 0.859
vanta.git, 0.882
papercut-smtp.git, 0.865
thief.git, 0.893
richfilemanager.git, 0.900
raspberrycast.git, 0.931
universal-data-tool.git, 0.923
sdow.git, 0.839
iro.js.git, 0.872
hypercore.git, 0.952
meteor-files.git, 0.905
