repo, precision
node, 0.963
30-seconds-of-code, 0.973
freeCodeCamp, 0.929
react, 0.964
axios, 0.966
citgm, 0.917
react-native, 0.933
meteor, 0.915
atom, 0.960
redux, 0.925
telescope, 0.826
core-js, 0.982
reveal.js, 0.954
evergreen, 0.925
create-react-app, 0.914
carlo, 0.947
jquery, 0.969
webpack, 0.947
express, 0.958
storybook, 0.957
