repo, precision
redux.git, 0.898
create-react-app.git, 0.925
reveal.js.git, 0.920
evergreen.git, 0.908
storybook.git, 0.940
node.git, 0.966
webpack.git, 0.934
citgm.git, 0.945
carlo.git, 0.951
telescope.git, 0.968
react.git, 0.952
meteor.git, 0.945
axios.git, 0.985
react-native.git, 0.964
jquery.git, 0.963
