repo, support, full_support
carlo.git, 17220, 21038
evergreen.git, 171323, 177040
jquery.git, 180553, 190605
storybook.git, 110349, 115081
create-react-app.git, 17737, 20613
axios.git, 28523, 32058
telescope.git, 1640, 2096
citgm.git, 28814, 29679
node.git, 922807, 954687
react-native.git, 558938, 597336
meteor.git, 570648, 664209
react.git, 608507, 636840
webpack.git, 676965, 684328
redux.git, 30150, 30706
reveal.js.git, 51135, 60106
