repo, precision
webpack.git, 0.944
meteor.git, 0.965
citgm.git, 0.945
carlo.git, 0.951
reveal.js.git, 0.924
node.git, 0.963
create-react-app.git, 0.956
jquery.git, 0.963
redux.git, 0.898
react.git, 0.954
axios.git, 0.990
evergreen.git, 0.903
react-native.git, 0.954
telescope.git, 0.968
storybook.git, 0.939
