repo, labels
core.git, 7
grace-chopper.git, 8
jirascope.git, 7
wohindasleben.git, 8
arbre-de-lespoir.git, 5
prizey-web.git, 8
gitforteams.git, 10
sudoslider.git, 8
wandex-front-end.git, 10
book-store.git, 6
arc-dao-stack.git, 10
react-video-recorder.git, 7
forum-app-project2.git, 7
biggeo.git, 8
campsiter.git, 8
gatsby-starter-netlify-cms.git, 8
qgis-webappbuilder-plugin.git, 7
serverless-wsgi.git, 7
necsus.git, 6
magicmirror.git, 7
whats-new-in-python3.git, 10
sharingweb-react.git, 8
map-state-to-props-lab-nyc-web-082619.git, 4
rona-v2.git, 5
phantom-blue.git, 8
uop-backend.git, 7
2019fall_42class_team1.git, 8
