repo, precision
core.git, 0.814
grace-chopper.git, 0.848
jirascope.git, 0.931
wohindasleben.git, 0.916
arbre-de-lespoir.git, 0.717
prizey-web.git, 0.911
gitforteams.git, 0.896
sudoslider.git, 0.944
wandex-front-end.git, 0.917
book-store.git, 0.685
arc-dao-stack.git, 0.939
react-video-recorder.git, 0.907
forum-app-project2.git, 0.841
biggeo.git, 0.837
campsiter.git, 0.935
gatsby-starter-netlify-cms.git, 0.916
qgis-webappbuilder-plugin.git, 0.835
serverless-wsgi.git, 0.900
necsus.git, 0.868
magicmirror.git, 0.956
whats-new-in-python3.git, 0.930
sharingweb-react.git, 0.956
map-state-to-props-lab-nyc-web-082619.git, 0.868
rona-v2.git, 0.957
phantom-blue.git, 0.867
uop-backend.git, 0.901
2019fall_42class_team1.git, 0.925
