project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users,paths,snapshots,unique_files,original_files,impact,files,major_language,major_language_ratio,major_language_changes,all_forks_count,max_commit_delta,avg_commit_delta,first_commit,last_commit,is_abandoned,locs,duplicated_code,is_valid,max_experience,project_experience,authors_contributing_95%_commits,authors_contributing_80%_commits,authors_contributing_50%_commits,authors_contributing_95%_changes,authors_contributing_80%_changes,authors_contributing_50%_changes
754,TypeScript,https://github.com/storybookjs/storybook.git,false,false,false,64316,64316,438675,1381,,,,6475,925,TypeScript,198641575,true,true,false,false,1458275024,1630138197,1630138665,"next","MIT License","https://storybook.js.org","📓 The UI component explorer. Develop, document, & test React, Vue, Angular, Web Components, Ember, Svelte & more!",439,847,49,35,50,67172,1186,0,0,0,67172,Other,0.9894411874138954,196786,16,52532567,3632519,215947134,17305559,false,0,0,true,9,3.492134831460674,27,12,5,8,5,2
756,SmallProjects,https://github.com/strujilloor/universidad-react.git,false,false,false,0,0,169,0,,,,0,1,JavaScript,23673864,true,true,true,false,1583986967,1583986994,1583986991,"master","","","Curso Universidad React Udemy a cargo del profesor Gerardo",1,695,44,22,45,139,185,0,0,0,139,Other,0.9363395225464191,2118,183,2976433,2287071,66590504,42916640,true,344,0,true,11,6.676258992805756,17,4,2,12,4,2
761,SmallProjects,https://github.com/sunilmitra/luxekitchen.git,false,false,false,0,0,106,0,,,,0,1,TypeScript,23677843,true,true,true,false,1577195563,1577195667,1577195664,"master","","","code for luxe kitchen",1,696,45,23,46,139,185,0,0,0,139,Other,0.9363957597173145,2120,183,2976433,2283786,66590495,42912652,true,344,0,true,11,6.668103448275862,17,4,2,13,4,2
763,SmallProjects,https://github.com/sunnybarua/node-mongo.git,false,false,false,0,0,15,1,,,,0,1,JavaScript,24211449,true,true,true,false,1586076521,1586461331,1599163261,"master","","","",2,700,45,23,46,265,189,0,0,0,265,Other,0.9390905298289528,2251,183,2976433,2271481,66590491,42379042,true,409,0,true,11,6.644285714285714,17,5,2,12,4,2
766,SmallProjects,https://github.com/svogk/goit-js-hw-11-timer.git,false,false,false,0,0,4,0,,,,0,2,JavaScript,24243390,true,true,true,true,1586708597,1601933916,1601933913,"master","MIT License","","homeWork-11",1,704,45,23,46,265,189,0,0,0,265,Other,0.939192003331945,2255,183,2976433,2258601,66590484,42347094,true,409,0,true,11,6.623579545454546,17,5,2,12,4,2
777,SmallProjects,https://github.com/tencent/objectdetection-onestagedet.git,false,false,false,1921,1921,265,49,,,,505,68,Python,24337435,true,true,true,false,1545192076,1630036474,1591169972,"master","Other","","单阶段通用目标检测器",1,707,45,23,46,267,191,0,0,0,267,Other,0.9385126713751558,2259,183,2976433,2249137,66590464,42253029,true,433,0,true,11,6.608203677510608,17,5,2,12,4,2
784,SmallProjects,https://github.com/therainingmonkey/openbox-configs.git,false,false,false,0,0,136,0,,,,0,2,Perl,24421766,true,true,true,false,1420670677,1420673509,1420673509,"master","","","Config files for my openbox",1,711,45,23,46,397,198,0,0,0,397,Other,0.9406446540880503,2393,183,2976433,2236585,66590452,42168686,true,570,0,true,11,6.587904360056259,17,5,2,11,4,2
785,SmallProjects,https://github.com/thesnickersbar/tower-seige-2.git,false,false,false,0,0,877,0,,,,0,1,JavaScript,24459851,true,true,true,true,1591496735,1591497477,1591497475,"master","","","",1,712,45,23,46,399,199,0,0,0,399,Other,0.9408307210031348,2401,183,2976433,2233493,66590451,42130600,true,576,0,true,11,6.582865168539326,17,5,2,11,4,2
795,Generic,https://github.com/tlbootcamp/tlroadmap.git,false,false,false,4253,4253,24848,32,,,,413,185,,65210080,true,true,false,false,1563552213,1630139502,1628763539,"master","Creative Commons Attribution Share Alike 4.0 International","https://tlroadmap.io","Тимлид – это ❄️, потому что в каждой компании он уникален и неповторим.",23,1038,66,27,67,472,260,1,0,1,472,Other,0.9446574029707714,3943,183,2987276,1570650,66590403,1380323,false,477,0,true,11,6.5847784200385355,24,7,2,13,4,2
800,SmallProjects,https://github.com/tregelacio/pythonprojects.git,false,false,false,0,0,6,0,,,,0,1,Python,24719147,true,true,true,false,1558915265,1559120546,1559120544,"master","","","",1,715,45,23,46,403,205,0,0,0,403,Other,0.9406516679596586,2425,183,2976433,2224471,66590346,41871199,true,649,0,true,11,6.567832167832168,17,5,2,11,4,2
