repo, precision
redux.git, 0.898
create-react-app.git, 0.956
reveal.js.git, 0.924
evergreen.git, 0.903
storybook.git, 0.939
node.git, 0.963
webpack.git, 0.944
citgm.git, 0.945
carlo.git, 0.951
telescope.git, 0.968
react.git, 0.954
meteor.git, 0.965
axios.git, 0.990
react-native.git, 0.954
jquery.git, 0.963
