repo, labels
catboard.git, 8
python-thermostat.git, 5
muxi-cs103.git, 6
streeteats.git, 7
jadeocr.git, 5
visualization-for-transportation.git, 10
cents_trip.git, 7
django_by_example.git, 8
alaio-oracle.git, 7
random-code.git, 4
sgtk.git, 9
