repo, precision
front-jehova-jireth-manager.git, 0.767
credit-site-server.git, 0.921
otlplus.git, 0.963
in4331-web-data-management.git, 0.949
recipe-app.git, 0.849
dashboard.git, 0.695
robot-management-application.git, 0.941
cffbrkwb.git, 0.801
student-and-instructor-information-system.git, 0.911
remix-live-beta.git, 0.952
cst-platform.git, 0.939
kotoz.git, 0.922
speedlazer.git, 0.946
earthweb.git, 0.931
itmo-labs-1.git, 0.923
pikbooth.git, 0.822
disa_dj_project.git, 0.820
web-dev-portfolio.git, 0.979
pool.git, 0.924
h5p-extended-accessibility-formats.git, 0.931
app-tiny.git, 0.950
3dhop-evt2.git, 0.964
learnvuejs.git, 0.932
saturn.git, 0.838
biz-beautyshop.git, 0.848
react-conf-registration-web.git, 0.946
hotel.git, 0.908
socialpunishment.git, 0.946
