repo, precision
weatherstation-project.git, 0.812
escape_trumps_america.git, 0.917
personalcalculatorapp.git, 0.759
ghosttext.git, 0.913
afm-client.git, 0.774
ipytracer.git, 0.915
leetcode-javascript.git, 0.928
small-useful-and-fun-codes.git, 0.938
skinnefy.git, 0.777
algorithm.git, 0.887
interactive-tabletop-projected-old.git, 0.819
savia2html.git, 0.965
code-examples.git, 0.816
fb_backend.git, 0.944
kmera.git, 0.946
passivedatakit-django.git, 0.915
